model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Kuga,2017,14998,Manual,15978.0,Diesel,30.0,64.2,1.5
 Kuga,2017,13998,Automatic,13265.0,Petrol,240.0,38.2,1.5
 EcoSport,2016,9998,Manual,20491.0,Petrol,125.0,52.3,1.0
 Tourneo Connect,2017,10998,Manual,16310.0,Petrol,125.0,50.4,1.0
 Focus,2017,17698,Manual,14557.0,Petrol,145.0,41.5,2.0
 Focus,2017,11498,Semi-Auto,30917.0,Petrol,125.0,51.4,1.0
 Focus,2017,12798,Manual,22153.0,Diesel,145.0,74.3,1.5
 C-MAX,2015,8698,Manual,31743.0,Petrol,30.0,55.4,1.0
 Kuga,2019,19495,Manual,13673.0,Diesel,145.0,47.9,1.2
 Fiesta,2018,9995,Manual,25776.0,Petrol,145.0,65.7,1.0
 Focus,2016,10995,Manual,30923.0,Diesel,0.0,74.3,1.5
 Kuga,2017,13998,Manual,24504.0,Diesel,150.0,64.2,1.5
 Fiesta,2017,11998,Manual,6568.0,Petrol,145.0,62.8,1.0
 Tourneo Connect,2016,8998,Manual,42960.0,Diesel,30.0,61.4,1.5
 Kuga,2018,16698,Manual,5117.0,Diesel,145.0,54.3,1.5
 EcoSport,2016,8998,Manual,31736.0,Petrol,125.0,53.3,1.0
 Fiesta,2015,7998,Manual,19212.0,Petrol,0.0,65.7,1.2
 Fiesta,2018,12495,Manual,12426.0,Petrol,145.0,65.7,1.0
 Ka+,2017,7995,Manual,12872.0,Petrol,145.0,57.7,1.2
 Puma,2020,21995,Manual,4111.0,Petrol,145.0,50.4,1.0
 Kuga,2018,16995,Manual,34690.0,Petrol,145.0,60.1,2.0
 Fiesta,2018,11995,Manual,32168.0,Petrol,145.0,65.7,1.0
 Kuga,2019,19995,Manual,11312.0,Diesel,145.0,47.9,2.0
 Fiesta,2017,8995,Manual,31559.0,Petrol,145.0,65.7,1.0
 Ka+,2017,8295,Manual,23000.0,Petrol,145.0,57.7,1.2
 EcoSport,2018,14698,Manual,6442.0,Petrol,145.0,54.3,1.0
 Fiesta,2016,10498,Semi-Auto,29590.0,Petrol,0.0,57.7,1.0
 Focus,2018,14495,Manual,17030.0,Petrol,145.0,57.7,1.0
 Focus,2016,8995,Manual,22493.0,Petrol,20.0,60.1,1.0
 Focus,2016,15995,Manual,29600.0,Diesel,20.0,67.3,2.0
 C-MAX,2016,10995,Semi-Auto,26500.0,Diesel,125.0,58.9,2.0
 Tourneo Custom,2017,19995,Manual,14000.0,Diesel,200.0,44.8,2.0
 C-MAX,2013,8295,Manual,34783.0,Diesel,30.0,61.4,1.6
 Focus,2015,7995,Manual,56655.0,Diesel,20.0,67.3,1.6
 Kuga,2019,19995,Manual,16000.0,Diesel,150.0,47.9,2.0
 Mondeo,2015,9995,Manual,30753.0,Diesel,0.0,78.5,1.5
 Grand C-MAX,2018,13495,Manual,1030.0,Petrol,145.0,47.9,1.0
 C-MAX,2017,12995,Manual,7817.0,Petrol,145.0,55.4,1.0
 Focus,2018,12995,Manual,9781.0,Petrol,145.0,60.1,1.0
 EcoSport,2018,12998,Manual,17241.0,Petrol,145.0,54.3,1.0
 Tourneo Connect,2015,10298,Manual,28309.0,Diesel,125.0,58.9,1.6
 Fiesta,2017,10498,Manual,50599.0,Petrol,0.0,65.7,1.0
 Focus,2018,11298,Semi-Auto,37880.0,Diesel,150.0,74.3,1.5
 Kuga,2016,10698,Manual,56888.0,Diesel,125.0,60.1,1.2
 Focus,2018,15995,Manual,10500.0,Petrol,145.0,60.1,1.0
 B-MAX,2014,6995,Semi-Auto,50800.0,Petrol,160.0,44.1,1.6
 Fiesta,2019,13950,Manual,6700.0,Petrol,145.0,58.9,1.0
 Fiesta,2017,10650,Manual,31800.0,Petrol,150.0,65.7,1.0
 Fiesta,2016,7995,Manual,20700.0,Petrol,125.0,54.3,1.2
 Focus,2016,11495,Manual,29900.0,Diesel,0.0,74.3,1.5
 Kuga,2018,16995,Manual,32858.0,Diesel,145.0,54.3,2.0
 Fiesta,2018,11995,Manual,31593.0,Petrol,145.0,65.7,1.0
 Focus,2015,10995,Manual,13791.0,Petrol,125.0,51.4,1.5
 Kuga,2019,20495,Manual,12034.0,Diesel,145.0,47.9,2.0
 Focus,2018,19995,Manual,10923.0,Diesel,145.0,67.3,2.0
 Kuga,2019,19995,Manual,10171.0,Diesel,145.0,38.2,2.0
 Focus,2016,10995,Manual,30923.0,Petrol,0.0,74.3,1.5
 EcoSport,2019,18995,Manual,2291.0,Petrol,145.0,52.3,1.0
 Focus,2017,11995,Manual,23469.0,Petrol,125.0,51.4,1.5
 Kuga,2017,16998,Manual,13626.0,Diesel,125.0,60.1,2.0
 Fiesta,2016,7398,Manual,35180.0,Petrol,125.0,54.3,1.2
 Fiesta,2019,11498,Manual,17708.0,Petrol,145.0,58.9,1.0
 Fiesta,2019,13998,Manual,9957.0,Petrol,145.0,58.9,1.0
 Focus,2019,16698,Manual,4542.0,Petrol,145.0,60.1,1.0
 Mondeo,2016,9998,Manual,38358.0,Diesel,0.0,78.5,1.5
 Focus,2015,12998,Manual,25878.0,Diesel,20.0,67.3,2.0
 EcoSport,2016,9998,Semi-Auto,18325.0,Petrol,160.0,44.8,1.5
 Focus,2017,12498,Manual,9338.0,Petrol,145.0,60.1,1.0
 EcoSport,2018,14998,Manual,7133.0,Diesel,145.0,58.9,1.5
 Focus,2017,10498,Manual,42002.0,Petrol,20.0,60.1,1.0
 Kuga,2017,16995,Automatic,3700.0,Petrol,145.0,38.2,1.5
 Focus,2019,15495,Manual,5600.0,Petrol,145.0,60.1,1.0
 Fiesta,2015,9495,Manual,17288.0,Petrol,0.0,65.7,1.2
 B-MAX,2013,5995,Manual,42996.0,Diesel,20.0,70.6,1.6
 Focus,2014,7498,Manual,47566.0,Petrol,30.0,56.5,1.0
 Fiesta,2017,11798,Manual,4262.0,Petrol,0.0,65.7,1.0
 Fiesta,2017,10998,Manual,10125.0,Petrol,145.0,65.7,1.0
 Focus,2017,14998,Automatic,17028.0,Petrol,150.0,46.3,1.5
 Fiesta,2017,8998,Manual,12753.0,Petrol,145.0,54.3,1.2
 Focus,2016,13998,Manual,24895.0,Diesel,20.0,67.3,2.0
 Focus,2017,17998,Manual,9066.0,Petrol,145.0,41.5,2.0
 Fiesta,2019,18998,Manual,3292.0,Petrol,145.0,40.3,1.5
 Kuga,2013,9198,Semi-Auto,48130.0,Diesel,200.0,45.6,2.0
 Kuga,2015,14498,Manual,27513.0,Diesel,145.0,54.3,2.0
 Focus,2017,14998,Manual,32511.0,Petrol,150.0,41.5,2.0
 Fiesta,2016,8498,Manual,21888.0,Petrol,125.0,54.3,1.2
 Fiesta,2019,13995,Manual,11130.0,Petrol,145.0,58.9,1.0
 Focus,2017,18498,Manual,14441.0,Petrol,145.0,41.5,2.0
 Focus,2018,13998,Manual,13401.0,Petrol,145.0,60.1,1.0
 Fiesta,2019,12798,Manual,10567.0,Petrol,145.0,58.9,1.0
 Fiesta,2019,14698,Manual,7872.0,Petrol,145.0,58.9,1.0
 Ka+,2017,7698,Manual,10641.0,Petrol,30.0,57.7,1.2
 EcoSport,2018,12498,Manual,10222.0,Petrol,145.0,54.3,1.0
 Fiesta,2017,9998,Manual,28519.0,Petrol,20.0,62.8,1.2
 Kuga,2017,13998,Manual,51772.0,Diesel,125.0,60.1,2.0
 Fiesta,2016,9500,Automatic,7350.0,Petrol,0.0,57.7,1.0
 Ka+,2018,8195,Manual,12231.0,Petrol,145.0,47.9,1.2
 Kuga,2019,21498,Automatic,5354.0,Petrol,150.0,31.0,1.5
 Focus,2017,17998,Manual,19525.0,Petrol,145.0,41.5,2.0
 EcoSport,2018,14498,Manual,11922.0,Petrol,145.0,54.3,1.0
 C-MAX,2016,9998,Manual,16984.0,Diesel,20.0,68.9,1.5
 Fiesta,2016,7998,Manual,16070.0,Petrol,125.0,54.3,1.2
 Focus,2018,10998,Manual,26648.0,Petrol,145.0,61.4,1.0
 Fiesta,2017,10998,Manual,19140.0,Petrol,145.0,62.8,1.0
 Focus,2016,9998,Manual,26399.0,Diesel,0.0,74.3,1.5
 Fiesta,2013,5498,Manual,53545.0,Petrol,30.0,54.3,1.2
 Fiesta,2017,9298,Manual,25491.0,Petrol,0.0,65.7,1.0
 Fiesta,2014,7298,Manual,31359.0,Petrol,0.0,65.7,1.0
 Focus,2016,8498,Manual,51656.0,Diesel,0.0,74.3,1.5
 Kuga,2016,17698,Semi-Auto,11221.0,Diesel,145.0,54.3,2.0
 Kuga,2017,14498,Manual,23356.0,Diesel,145.0,60.1,2.0
 EcoSport,2018,12898,Manual,15267.0,Petrol,145.0,53.3,1.0
 B-MAX,2017,7998,Manual,41294.0,Diesel,0.0,74.4,1.5
 C-MAX,2018,12198,Manual,7993.0,Petrol,145.0,49.6,1.0
 EcoSport,2017,9698,Manual,30207.0,Petrol,145.0,53.3,1.0
 Fiesta,2016,8798,Manual,19815.0,Petrol,0.0,65.7,1.0
 Kuga,2015,14298,Manual,43717.0,Diesel,145.0,54.3,2.0
 Focus,2018,15798,Manual,4534.0,Petrol,145.0,58.9,1.2
 Fiesta,2017,10298,Manual,9148.0,Petrol,145.0,65.7,1.0
 KA,2014,4898,Manual,22609.0,Petrol,30.0,57.7,1.2
 Focus,2016,10298,Manual,15510.0,Diesel,0.0,74.3,1.5
 Fiesta,2017,9998,Manual,20347.0,Petrol,0.0,65.7,1.0
 Kuga,2018,16698,Manual,3044.0,Petrol,145.0,39.2,1.5
 Fiesta,2017,8998,Manual,5233.0,Petrol,125.0,54.3,1.2
 Grand C-MAX,2015,8998,Manual,28359.0,Diesel,125.0,60.1,1.6
 Focus,2017,12498,Semi-Auto,12244.0,Petrol,125.0,51.4,1.0
 Fiesta,2018,12498,Manual,17918.0,Petrol,145.0,65.7,1.0
 S-MAX,2020,34498,Semi-Auto,4623.0,Diesel,145.0,43.5,2.0
 EcoSport,2017,9298,Manual,16770.0,Petrol,145.0,44.8,1.5
 Focus,2017,10900,Manual,25459.0,Petrol,145.0,60.1,1.0
 EcoSport,2017,9998,Manual,23913.0,Petrol,125.0,53.3,1.0
 Fiesta,2018,12998,Manual,9901.0,Petrol,150.0,65.7,1.0
 Focus,2016,10998,Semi-Auto,15006.0,Petrol,125.0,51.4,1.0
 Focus,2017,15500,Manual,19593.0,Petrol,145.0,41.5,2.0
 Kuga,2017,16200,Semi-Auto,23027.0,Diesel,145.0,58.9,1.5
 C-MAX,2016,10500,Semi-Auto,13580.0,Diesel,20.0,64.2,1.5
 Focus,2015,13200,Manual,32000.0,Diesel,20.0,67.3,2.0
 Focus,2019,18698,Manual,15365.0,Petrol,145.0,60.1,1.0
 Focus,2019,16998,Manual,7924.0,Diesel,145.0,80.7,1.5
 Fiesta,2017,9998,Manual,10721.0,Petrol,145.0,65.7,1.0
 EcoSport,2017,9498,Manual,25939.0,Petrol,145.0,53.3,1.0
 Fiesta,2019,17498,Manual,3265.0,Petrol,145.0,58.9,1.0
 Focus,2019,15998,Automatic,11045.0,Petrol,145.0,41.5,1.0
 EcoSport,2020,17998,Manual,250.0,Petrol,145.0,51.4,1.0
 B-MAX,2013,5698,Manual,44901.0,Petrol,145.0,47.1,1.4
 Focus,2017,9998,Manual,22001.0,Petrol,20.0,60.1,1.0
 Fiesta,2020,17298,Manual,4563.0,Petrol,145.0,54.3,1.0
 Fiesta,2019,16998,Manual,12236.0,Petrol,145.0,55.4,1.0
 Kuga,2019,23998,Manual,7584.0,Diesel,145.0,39.2,2.0
 Fiesta,2013,6498,Manual,41599.0,Petrol,0.0,65.7,1.0
 Grand C-MAX,2017,12498,Manual,10373.0,Petrol,145.0,54.3,1.0
 Fiesta,2013,4998,Manual,79300.0,Petrol,0.0,65.7,1.0
 C-MAX,2017,11498,Manual,12982.0,Petrol,30.0,55.4,1.0
 Focus,2017,11298,Manual,24386.0,Diesel,0.0,74.3,1.5
 EcoSport,2017,9298,Manual,18209.0,Diesel,30.0,64.2,1.5
 EcoSport,2018,12998,Manual,9796.0,Petrol,145.0,54.3,1.0
 Fiesta,2018,14498,Manual,9428.0,Petrol,145.0,62.8,1.0
 Galaxy,2016,18498,Manual,30528.0,Diesel,125.0,56.5,2.0
 C-MAX,2016,8498,Manual,41772.0,Petrol,30.0,55.4,1.0
 Fiesta,2015,8298,Manual,15673.0,Petrol,0.0,65.7,1.0
 Focus,2015,8498,Manual,47219.0,Diesel,0.0,74.3,1.5
 Focus,2018,12998,Manual,16081.0,Petrol,150.0,57.7,1.0
 Focus,2019,16998,Manual,10476.0,Petrol,145.0,60.1,1.0
 Fiesta,2016,9998,Manual,16647.0,Petrol,0.0,65.7,1.0
 Kuga,2017,13698,Manual,41457.0,Diesel,150.0,54.3,2.0
 Focus,2017,13998,Semi-Auto,4735.0,Petrol,125.0,51.4,1.0
 EcoSport,2016,9498,Manual,24045.0,Petrol,125.0,53.3,1.0
 EcoSport,2019,15984,Manual,6500.0,Petrol,145.0,51.4,1.0
 EcoSport,2017,8489,Manual,60190.0,Petrol,160.0,44.8,1.5
 Fiesta,2017,9995,Manual,27000.0,Diesel,0.0,78.5,1.5
 Fiesta,2017,8498,Manual,32538.0,Petrol,0.0,65.7,1.0
 Kuga,2016,13498,Manual,36345.0,Diesel,150.0,54.3,2.0
 Focus,2016,8998,Manual,43623.0,Petrol,20.0,61.4,1.0
 Kuga,2013,9998,Semi-Auto,58500.0,Diesel,200.0,45.6,2.0
 Kuga,2017,17498,Manual,15729.0,Diesel,145.0,54.3,2.0
 Fiesta,2018,9998,Manual,7892.0,Petrol,145.0,65.7,1.0
 Fiesta,2017,11990,Manual,24725.0,Petrol,145.0,47.9,1.6
 Focus,2019,16899,Manual,7000.0,Diesel,145.0,80.7,1.5
 EcoSport,2019,15984,Manual,3500.0,Petrol,145.0,51.4,1.0
 EcoSport,2019,15984,Manual,4500.0,Petrol,145.0,51.4,1.0
 EcoSport,2019,15984,Manual,4000.0,Petrol,145.0,51.4,1.0
 EcoSport,2019,13998,Manual,4889.0,Diesel,145.0,68.9,1.5
 Kuga,2017,17994,Manual,20633.0,Diesel,150.0,54.3,2.0
 Galaxy,2016,17489,Semi-Auto,47937.0,Diesel,165.0,51.4,2.0
 Kuga,2018,19899,Semi-Auto,28500.0,Diesel,145.0,54.3,2.0
 Fiesta,2014,4699,Manual,85000.0,Petrol,30.0,54.3,1.2
 EcoSport,2017,9949,Manual,23000.0,Petrol,125.0,53.3,1.0
 C-MAX,2017,11498,Manual,9995.0,Petrol,145.0,55.4,1.0
 C-MAX,2017,10898,Manual,12626.0,Petrol,30.0,55.4,1.0
 C-MAX,2018,12998,Manual,7320.0,Petrol,145.0,55.4,1.0
 C-MAX,2019,13498,Manual,23394.0,Petrol,145.0,48.7,1.0
 C-MAX,2017,9998,Manual,12932.0,Diesel,20.0,68.9,1.5
 Focus,2019,18998,Automatic,22246.0,Diesel,150.0,64.2,2.0
 Fiesta,2019,11798,Manual,5530.0,Petrol,150.0,48.7,1.1
 Fiesta,2019,11798,Manual,4590.0,Petrol,150.0,48.7,1.1
 Fiesta,2017,8498,Manual,28479.0,Petrol,0.0,65.7,1.0
 Kuga,2013,8998,Manual,67895.0,Diesel,200.0,47.9,2.0
 Focus,2019,14799,Manual,6249.0,Petrol,145.0,60.1,1.0
 Focus,2019,14799,Manual,8560.0,Petrol,145.0,60.1,1.0
 Mustang,2020,42489,Automatic,3500.0,Petrol,145.0,22.1,5.0
 Kuga,2017,17498,Manual,9940.0,Petrol,145.0,45.6,1.5
 Focus,2019,16498,Manual,4930.0,Petrol,145.0,60.1,1.0
 Focus,2018,19698,Manual,12011.0,Petrol,145.0,41.5,2.0
 Fiesta,2016,8498,Manual,23053.0,Petrol,125.0,54.3,1.2
 Focus,2016,16998,Manual,17589.0,Petrol,200.0,41.5,2.0
 Focus,2019,14998,Manual,7000.0,Petrol,145.0,58.9,1.0
 Grand Tourneo Connect,2019,19999,Manual,3500.0,Diesel,145.0,61.4,1.5
 Kuga,2019,20999,Automatic,5500.0,Diesel,145.0,47.9,2.0
 Focus,2019,14998,Manual,7000.0,Petrol,145.0,60.1,1.0
 EcoSport,2019,13998,Manual,5000.0,Diesel,145.0,68.9,1.5
 Kuga,2017,13898,Manual,33026.0,Diesel,145.0,60.1,2.0
 Fiesta,2016,11498,Manual,8560.0,Petrol,0.0,65.7,1.0
 Focus,2018,19698,Manual,16548.0,Petrol,145.0,41.5,2.0
 Focus,2017,10498,Manual,49485.0,Diesel,0.0,74.3,1.5
 Mondeo,2017,17498,Semi-Auto,14569.0,Diesel,145.0,53.3,2.0
 Kuga,2015,12498,Manual,60151.0,Diesel,145.0,54.3,2.0
 Focus,2017,11498,Manual,9148.0,Petrol,145.0,61.4,1.0
 Fiesta,2017,10998,Manual,13548.0,Petrol,0.0,65.7,1.0
 Mondeo,2019,22998,Automatic,7337.0,Hybrid,140.0,47.1,2.0
 Fiesta,2015,8498,Manual,6649.0,Petrol,125.0,54.3,1.2
 Focus,2017,11998,Manual,7690.0,Petrol,150.0,60.1,1.0
 Fiesta,2019,11898,Manual,3396.0,Petrol,150.0,48.7,1.1
 Fiesta,2019,11498,Manual,15766.0,Petrol,145.0,58.9,1.0
 Fiesta,2019,13298,Manual,7349.0,Petrol,145.0,58.9,1.0
 C-MAX,2016,9698,Manual,36860.0,Diesel,20.0,68.9,1.5
 EcoSport,2018,10498,Manual,59498.0,Diesel,145.0,68.9,1.5
 Kuga,2015,10998,Manual,17367.0,Diesel,125.0,60.1,2.0
 Fiesta,2017,9598,Manual,14403.0,Petrol,145.0,64.2,1.1
 Focus,2019,16998,Manual,20647.0,Petrol,145.0,60.1,1.0
 Fiesta,2019,13498,Manual,13351.0,Petrol,145.0,58.9,1.0
 Fiesta,2016,6998,Manual,34804.0,Petrol,125.0,54.3,1.2
 Kuga,2017,15498,Manual,38113.0,Diesel,125.0,60.1,2.0
 Fiesta,2018,9949,Manual,27399.0,Petrol,145.0,64.2,1.1
 C-MAX,2018,12998,Manual,2455.0,Diesel,145.0,68.9,1.5
 Edge,2016,20799,Automatic,52000.0,Diesel,200.0,47.9,2.0
 Mustang,2020,38489,Automatic,3500.0,Petrol,145.0,30.7,2.3
 Fiesta,2018,9489,Manual,35417.0,Petrol,145.0,64.2,1.1
 Fiesta,2019,13949,Semi-Auto,11982.0,Petrol,145.0,48.7,1.0
 Fiesta,2018,10990,Manual,28138.0,Petrol,145.0,56.5,1.0
 Kuga,2017,13489,Manual,34805.0,Diesel,145.0,54.3,2.0
 Focus,2015,7994,Manual,64612.0,Diesel,20.0,67.3,1.6
 Fiesta,2018,11489,Manual,19665.0,Petrol,145.0,60.1,1.0
 Kuga,2018,15699,Manual,17500.0,Diesel,150.0,64.2,1.5
 Focus,2020,19998,Manual,4000.0,Diesel,145.0,74.3,1.5
 Focus,2020,19489,Manual,5000.0,Diesel,145.0,74.3,1.5
 EcoSport,2016,9199,Manual,26445.0,Diesel,30.0,64.2,1.5
 C-MAX,2017,10489,Manual,26445.0,Diesel,20.0,68.9,1.5
 EcoSport,2018,11489,Manual,2922.0,Diesel,145.0,64.2,1.5
 Mustang,2018,29998,Automatic,3000.0,Petrol,145.0,28.8,2.3
 Mustang,2018,31498,Automatic,6250.0,Petrol,145.0,23.5,5.0
 Focus,2018,11999,Manual,6691.0,Petrol,145.0,61.4,1.0
 Grand Tourneo Connect,2018,15990,Automatic,9486.0,Diesel,145.0,56.6,1.5
 Focus,2019,16998,Automatic,8703.0,Petrol,145.0,40.9,1.5
 EcoSport,2019,15489,Manual,5636.0,Diesel,145.0,68.9,1.5
 S-MAX,2019,22489,Manual,8224.0,Diesel,145.0,56.5,2.0
